x,y,tempo
401.375036091966, 719.728046386535, 12:39:27:076
612.214561731681, 517.246277576944, 12:39:27:086
641.485675153215, 406.713914403346, 12:39:27:098
662.29750831266, 335.929097607516, 12:39:27:110
677.100441068574, 315.722959235328, 12:39:27:121
690.504269276783, 302.769617522878, 12:39:27:132
707.077169470725, 278.959595291519, 12:39:27:143
712.294049641803, 270.60048651244, 12:39:27:155
718.791873022426, 275.135756379796, 12:39:27:165
720.41110185954, 274.74040188183, 12:39:27:178
720.725192594281, 275.31997728884, 12:39:27:189
710.548022798436, 264.751023787913, 12:39:27:198
708.586996004923, 255.569939392572, 12:39:27:210
708.116798990249, 252.421527106881, 12:39:27:220
700.393856732639, 244.903533353364, 12:39:27:231
697.981802023134, 245.456868684415, 12:39:27:243
673.356537351175, 236.591084376611, 12:39:27:255
648.707018802568, 236.139734391126, 12:39:27:265
604.285859705553, 235.415698320867, 12:39:27:277
590.025110786624, 234.850794811171, 12:39:27:287
568.97636756413, 234.15853033519, 12:39:27:299
545.776990700858, 232.869392597137, 12:39:27:310
524.094381962364, 231.444502801636, 12:39:27:322
461.186142980108, 230.00120420067, 12:39:27:332
369.947218243825, 225.10864308847, 12:39:27:344
370.052939371739, 226.649924634812, 12:39:27:353
373.345147235827, 218.38211316319, 12:39:27:365
373.860299092675, 217.106285228434, 12:39:27:378
375.562400075628, 215.759393985297, 12:39:27:388
379.03995991782, 213.850949751063, 12:39:27:398
379.531842896571, 213.234380927356, 12:39:27:411
378.903256824172, 212.315832058966, 12:39:27:421
377.61633886488, 218.672801865422, 12:39:27:431
376.995625638435, 221.712712996207, 12:39:27:442
376.321134395081, 222.958557775846, 12:39:27:455
375.536497449877, 223.388669676487, 12:39:27:465
375.956683928778, 223.231706283983, 12:39:27:477
377.363207290444, 229.032294845534, 12:39:27:487
377.955419262924, 235.914762610802, 12:39:27:500
377.50922527122, 238.335568364969, 12:39:27:511
387.159875281243, 259.690672287599, 12:39:27:521
387.432725719644, 260.347458310405, 12:39:27:532
390.206008940945, 273.087525708305, 12:39:27:544
390.503812050413, 275.6323208246, 12:39:27:554
390.733820987035, 277.675140936634, 12:39:27:566
392.464326825755, 283.433114629678, 12:39:27:577
395.846700537371, 293.346403301423, 12:39:27:588
396.334791873898, 292.21893333981, 12:39:27:599
397.551932369397, 288.470749193987, 12:39:27:610
399.397485898779, 286.873802738304, 12:39:27:622
399.433403761664, 286.738786567937, 12:39:27:632
401.013406421549, 286.15992455639, 12:39:27:643
401.367943520075, 284.972070965179, 12:39:27:654
401.450935779869, 284.738824841341, 12:39:27:665
400.6686399329, 282.765279746016, 12:39:27:677
400.086246850162, 281.61825675109, 12:39:27:688
400.738345391501, 279.839144231924, 12:39:27:699
400.472963353064, 267.477933666754, 12:39:27:710
400.629345763437, 265.244330001828, 12:39:27:721
400.879372984016, 263.566313084775, 12:39:27:732
403.699815846563, 257.307362207307, 12:39:27:744
404.520627800787, 254.734640732353, 12:39:27:754
404.33522991461, 254.334043177408, 12:39:27:765
404.915185555798, 252.30595005912, 12:39:27:776
404.545547406324, 250.733178193766, 12:39:27:787
405.049541732391, 250.809282342655, 12:39:27:797
405.199750338317, 251.62013994794, 12:39:27:809
405.576311685232, 250.576011029815, 12:39:27:821
405.661842185092, 250.684818084837, 12:39:27:832
405.740677252757, 250.771302478432, 12:39:27:843
