x,y,tempo
416.139260099866, 958.423905996848, 12:43:51:446
567.412897305846, 648.257347825875, 12:43:51:459
563.619113447426, 646.42702072742, 12:43:51:469
605.054894168035, 449.081944133186, 12:43:51:481
600.549735180414, 464.183696062059, 12:43:51:493
642.128635397848, 407.646459162661, 12:43:51:503
666.773857392622, 374.716274172103, 12:43:51:515
674.007618517133, 364.810960946323, 12:43:51:525
677.735807870173, 359.469749116924, 12:43:51:535
678.917651631979, 357.993970919195, 12:43:51:548
690.294846854197, 346.47217783504, 12:43:51:559
695.723500255595, 338.626867662594, 12:43:51:569
700.832915751184, 343.789929310801, 12:43:51:581
722.739175467371, 343.064377009345, 12:43:51:592
739.234204839326, 344.467416349871, 12:43:51:603
899.293499527441, 359.664795874517, 12:43:51:614
920.614174577477, 361.604603310735, 12:43:51:625
936.540998108723, 362.355890092983, 12:43:51:635
964.931140803409, 367.144733847414, 12:43:51:647
975.9890555088, 369.143709451812, 12:43:51:658
991.490045538257, 372.015107081473, 12:43:51:669
1047.35172066802, 379.263204857603, 12:43:51:681
1052.7140023014, 382.010273694531, 12:43:51:693
1050.33454948414, 380.069535086175, 12:43:51:703
1051.06883593244, 381.454469457205, 12:43:51:714
1052.66545837662, 385.198632741528, 12:43:51:724
1053.33896225939, 384.536527302392, 12:43:51:736
1052.33982231457, 385.304390553839, 12:43:51:747
1053.26613527786, 384.006795934897, 12:43:51:758
1053.20134162242, 383.880393737842, 12:43:51:769
1053.3939172804, 383.123875652198, 12:43:51:781
1055.80450660562, 379.830243578261, 12:43:51:792
1060.07932596789, 381.293740695617, 12:43:51:803
1072.70093649358, 376.078668664222, 12:43:51:816
1127.68736659979, 347.925334189428, 12:43:51:829
1134.50553773792, 344.061441978004, 12:43:51:835
1138.51209091589, 341.574151692029, 12:43:51:848
1148.95537468133, 339.765826243947, 12:43:51:858
1152.88683064769, 338.166794797561, 12:43:51:868
1159.57872909908, 334.536936416491, 12:43:51:881
1161.26487821902, 333.536933271834, 12:43:51:892
1160.30313424903, 332.246733825118, 12:43:51:903
1160.8437398557, 329.779666790696, 12:43:51:915
1160.84674958146, 329.191055080062, 12:43:51:926
1160.98063046206, 328.286178302081, 12:43:51:936
1163.01642915793, 322.252120206986, 12:43:51:947
1162.57206418399, 322.409065822706, 12:43:51:958
1162.3266632517, 322.547483882091, 12:43:51:969
1071.01231588642, 316.702326979891, 12:43:51:981
668.694391355679, 292.247149617335, 12:43:51:992
424.025423622611, 282.160456807729, 12:43:52:002
405.779256737143, 281.87145052555, 12:43:52:014
392.653888477794, 282.110948197719, 12:43:52:026
382.288765059043, 282.221172703182, 12:43:52:036
